MODE,FRAME,YAW,PITCH,ROLL,YAWm,PITCHm,ROLLm,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,TEMP_F,FRAME_TIME_S,FRAME_TIME_MS,FRAME_TIME_US,INT_TIME_S,INT_TIME_MS,INT_TIME_US
RUN MODE,0,-164.5723,-3.80932,0.25816,0,0,0,-0.05005,-0.00342,1.00562,0.19847,-0.21374,0.03053,1997.22656,0,0,77.33167,0,3,257,3067009824,0,0
RUN MODE,1,-164.5779,-0.42056,-0.02112,0,0,0,-0.04761,-0.00464,1.00049,0.14122,-0.14885,0.0229,1343.16406,1740.23438,1665.13672,77.80881,0,3,629,0,30,0
RUN MODE,2,-164.57559,1.15628,-0.13754,0,0,0,-0.04557,-0.00407,0.99715,0.10941,-0.09415,0.02545,1113.46362,2363.28125,2223.94531,78.09724,0,3,486,0,29,989
RUN MODE,3,-164.57327,1.93408,-0.16498,0,0,0,-0.04614,-0.00311,0.99664,0.10115,-0.07634,0.02863,981.09375,2663.08594,2497.70508,78.2765,0,3,459,0,29,992
RUN MODE,4,-164.57109,2.33453,-0.17575,0,0,0,-0.04697,-0.00308,0.9959,0.07634,-0.06565,0.03206,906.34375,2838.28125,2670.99219,78.397,0,3,483,0,30,0
RUN MODE,5,-164.56863,2.41914,-0.18958,0,0,0,-0.04326,-0.00342,0.99268,0.04427,-0.0229,0.03359,640.04688,3557.8125,3355.10962,78.71185,0,3,417,0,29,998
RUN MODE,6,-164.56651,2.47975,-0.18636,0,0,0,-0.04404,-0.00313,0.99443,0.02748,-0.00305,0.03969,637.71094,3564.84375,3366.39868,78.83909,0,3,469,0,29,998
RUN MODE,7,-164.56494,2.53223,-0.17532,0,0,0,-0.04492,-0.00283,0.99648,0.01832,0,0.03511,647.05469,3555.46875,3384.46069,78.88761,0,3,431,0,29,998
RUN MODE,8,-164.56204,2.53826,-0.20255,0,0,0,-0.04429,-0.00396,0.99687,0.00458,-0.00153,0.02901,684.42969,3555.46875,3384.46069,78.9081,0,3,434,0,30,1
RUN MODE,9,-164.56042,2.48927,-0.2131,0,0,0,-0.04258,-0.00386,0.99766,0.01221,0.00153,0.01985,691.4375,3571.875,3400.26587,78.91026,0,3,469,0,29,999
RUN MODE,10,-164.55948,2.64161,-0.20636,0,0,0,-0.04854,-0.00347,0.99834,0.00916,-0.00305,0.02137,693.77344,3574.21875,3379.94531,78.90917,0,3,664,0,29,997
RUN MODE,11,-164.5591,2.71401,-0.18977,0,0,0,-0.04849,-0.00303,0.99829,0.00458,-0.00763,0.01985,707.78906,3597.65625,3361.88257,78.90486,0,3,305,0,30,0
RUN MODE,12,-164.55705,2.72913,-0.20061,0,0,0,-0.0478,-0.00366,0.9979,0.00305,-0.00611,0.02595,689.10156,3592.96875,3334.78906,78.90486,0,3,297,0,29,999
RUN MODE,13,-164.55498,2.74569,-0.19125,0,0,0,-0.04814,-0.00317,0.99819,0.00153,0.00153,0.04275,665.74219,3592.96875,3348.33594,78.90486,0,3,482,0,29,997
RUN MODE,14,-164.55206,2.77737,-0.18208,0,0,0,-0.04893,-0.00303,0.99795,-0.00458,-0.00153,0.05649,675.08594,3574.21875,3316.72632,78.91026,0,3,199,0,30,2
RUN MODE,15,-164.54967,2.71339,-0.16571,0,0,0,-0.04624,-0.00264,0.99775,-0.01069,-0.00305,0.05344,663.40625,3562.5,3328.01538,78.91133,0,3,220,0,29,998
RUN MODE,16,-164.54727,2.65295,-0.14673,0,0,0,-0.04512,-0.00225,0.99512,-0.00458,-0.00611,0.05496,633.03906,3546.09375,3357.36719,78.91133,0,3,318,0,30,25
RUN MODE,17,-164.54411,2.67252,-0.14651,0,0,0,-0.04673,-0.00254,0.99473,-0.00153,-0.01069,0.05344,649.39062,3539.0625,3368.65625,78.91026,0,3,313,0,29,978
RUN MODE,18,-164.54143,2.67658,-0.15359,0,0,0,-0.04648,-0.00278,0.99331,-0.00458,-0.00916,0.03969,640.04688,3529.6875,3373.17163,78.91133,0,3,553,0,29,996
RUN MODE,19,-164.53879,2.66804,-0.16173,0,0,0,-0.04614,-0.00293,0.99321,0.00153,-0.00153,0.03817,635.375,3553.125,3400.26587,78.91133,0,3,503,0,29,996
RUN MODE,20,-164.53558,2.63008,-0.18033,0,0,0,-0.04502,-0.00342,0.99336,0.00305,0.00153,0.03969,628.36719,3578.90625,3393.49219,78.91349,0,3,513,0,29,998
RUN MODE,21,-164.53125,2.61909,-0.23019,0,0,0,-0.04531,-0.00479,0.99438,0.00763,0.00153,0.03511,623.69531,3574.21875,3393.49219,78.91564,0,3,266,0,29,998
RUN MODE,22,-164.52789,2.5885,-0.26463,0,0,0,-0.04438,-0.00513,0.99312,0.00763,-0.00916,0.03053,614.35156,3597.65625,3393.49219,78.91564,0,3,253,0,30,0
RUN MODE,23,-164.52612,2.57589,-0.26247,0,0,0,-0.04448,-0.00449,0.9939,0.01221,-0.01374,0.03206,628.36719,3602.34375,3393.49219,78.91457,0,3,334,0,30,0
RUN MODE,24,-164.52408,2.58593,-0.2699,0,0,0,-0.04497,-0.00479,0.99312,0.00611,-0.0229,0.02901,633.03906,3574.21875,3370.91406,78.91349,0,3,214,0,29,997
RUN MODE,25,-164.5217,2.6015,-0.291,0,0,0,-0.04536,-0.00537,0.99399,0.00916,-0.02748,0.02443,649.39062,3571.875,3382.20312,78.91349,0,3,226,0,30,0
RUN MODE,26,-164.52063,2.64425,-0.27498,0,0,0,-0.04648,-0.00449,0.99282,0.00611,-0.03053,0.03053,654.0625,3576.5625,3364.14062,78.91349,0,3,279,0,29,997
RUN MODE,27,-164.52124,2.64179,-0.21913,0,0,0,-0.0458,-0.00288,0.99487,0.00916,-0.03206,0.03359,651.72656,3574.21875,3357.36719,78.91133,0,3,324,0,29,999
RUN MODE,28,-164.52126,2.65517,-0.18379,0,0,0,-0.04624,-0.00259,0.99399,0.01374,-0.03664,0.02748,654.0625,3581.25,3341.5625,78.91133,0,3,199,0,29,998
RUN MODE,29,-164.52092,2.6545,-0.16115,0,0,0,-0.04609,-0.00239,0.9958,0.01985,-0.03206,0.02443,630.70312,3604.6875,3346.07812,78.91026,0,3,278,0,30,0
RUN MODE,30,-164.52077,2.64942,-0.12834,0,0,0,-0.04595,-0.00166,0.9957,0.01832,-0.0229,0.02901,635.375,3590.625,3337.04688,78.91133,0,3,254,0,29,999
RUN MODE,31,-164.51912,2.61425,-0.13002,0,0,0,-0.04487,-0.00225,0.99609,0.01985,-0.01832,0.02748,663.40625,3600,3332.53149,78.91241,0,3,331,0,30,1
RUN MODE,32,-164.5152,2.60216,-0.17723,0,0,0,-0.04497,-0.00381,0.99448,0.01527,-0.01527,0.03053,668.07812,3595.3125,3346.07812,78.91564,0,3,239,0,29,996
RUN MODE,33,-164.51134,2.57074,-0.20502,0,0,0,-0.04419,-0.004,0.99639,0.00458,-0.01832,0.04427,661.07031,3592.96875,3357.36719,78.91564,0,3,313,0,29,998
RUN MODE,34,-164.5076,2.55996,-0.22571,0,0,0,-0.04429,-0.00425,0.99561,0.00305,-0.02595,0.04733,684.42969,3583.59375,3375.42969,78.91564,0,3,180,0,29,998
RUN MODE,35,-164.5029,2.64615,-0.26732,0,0,0,-0.04736,-0.00532,0.99614,-0.00153,-0.03817,0.04733,675.08594,3569.53125,3384.46069,78.91673,0,3,257,0,29,999
RUN MODE,36,-164.50021,2.6168,-0.26228,0,0,0,-0.04502,-0.00449,0.99712,-0.00611,-0.03817,0.04885,656.39844,3574.21875,3398.00781,78.91673,0,3,243,0,29,997
RUN MODE,37,-164.49811,2.6213,-0.23651,0,0,0,-0.0457,-0.00371,0.99839,-0.00611,-0.03969,0.05496,649.39062,3571.875,3382.20312,78.9178,0,3,285,0,29,998
RUN MODE,38,-164.49478,2.63642,-0.24352,0,0,0,-0.04604,-0.00435,0.9958,-0.00153,-0.02748,0.05038,630.70312,3567.1875,3373.17163,78.91888,0,3,254,0,29,999
RUN MODE,39,-164.49081,2.63983,-0.2569,0,0,0,-0.04595,-0.00469,0.99658,-0.00305,-0.02901,0.05649,609.67969,3574.21875,3357.36719,78.92319,0,3,261,0,30,0
RUN MODE,40,-164.48817,2.58665,-0.23756,0,0,0,-0.04409,-0.00381,0.9959,0.00153,-0.01832,0.05954,590.99219,3588.28125,3339.30444,78.92319,0,3,292,0,29,996
RUN MODE,41,-164.48393,2.64083,-0.24138,0,0,0,-0.04678,-0.00425,0.99561,0.00153,-0.01221,0.0687,581.64844,3574.21875,3334.78906,78.92427,0,3,374,0,29,999
RUN MODE,42,-164.48088,2.66376,-0.21623,0,0,0,-0.04668,-0.00332,0.99551,0.01221,-0.00458,0.07176,574.64062,3574.21875,3334.78906,78.92319,0,3,363,0,30,1
RUN MODE,43,-164.4781,2.66641,-0.17953,0,0,0,-0.04648,-0.00249,0.99766,0.01679,-0.01069,0.07634,609.67969,3609.375,3346.07812,78.92427,0,3,425,0,30,1
RUN MODE,44,-164.47504,2.66325,-0.15755,0,0,0,-0.04634,-0.00234,0.99746,0.01832,-0.00458,0.07023,633.03906,3595.3125,3346.07812,78.92104,0,3,419,0,30,1
RUN MODE,45,-164.47168,2.6412,-0.14714,0,0,0,-0.04561,-0.00234,0.99697,0.02137,-0.01374,0.06565,640.04688,3588.28125,3348.33594,78.9178,0,3,419,0,29,995
RUN MODE,46,-164.46913,2.6283,-0.12917,0,0,0,-0.04556,-0.0019,0.99785,0.02443,-0.01985,0.05802,656.39844,3590.625,3341.5625,78.91673,0,3,433,0,29,998
RUN MODE,47,-164.4655,2.62874,-0.14581,0,0,0,-0.0457,-0.00278,0.99614,0.00916,-0.01985,0.04885,649.39062,3609.375,3337.04688,78.91564,0,3,468,0,29,998
RUN MODE,48,-164.46245,2.62027,-0.15385,0,0,0,-0.04536,-0.00278,0.99492,0.00763,-0.01679,0.0458,626.03125,3562.5,3332.53149,78.91457,0,3,481,0,30,0
RUN MODE,49,-164.45987,2.63184,-0.149,0,0,0,-0.0459,-0.00249,0.99502,0.00763,-0.01374,0.04733,628.36719,3550.78125,3339.30444,78.91673,0,3,439,0,29,999
RUN MODE,50,-164.45685,2.64213,-0.15796,0,0,0,-0.04609,-0.00288,0.99556,0.00305,-0.00763,0.04427,637.71094,3560.15625,3366.39868,78.91888,0,3,448,0,29,998
RUN MODE,51,-164.4537,2.61773,-0.18526,0,0,0,-0.04507,-0.00366,0.99473,-0.00305,-0.00763,0.03206,628.36719,3550.78125,3375.42969,78.92104,0,3,428,0,30,0
RUN MODE,52,-164.4519,2.60964,-0.19278,0,0,0,-0.04521,-0.00347,0.99536,0.00153,-0.01069,0.02443,647.05469,3522.65625,3402.52344,78.91996,0,3,435,0,29,996
RUN MODE,53,-164.44864,2.62445,-0.23836,0,0,0,-0.04585,-0.00488,0.99561,-0.00153,-0.01374,0.01985,661.07031,3546.09375,3398.00781,78.9178,0,4,60,0,29,997
RUN MODE,54,-164.44536,2.62402,-0.28798,0,0,0,-0.04556,-0.00581,0.99497,-0.00305,-0.01832,0.01679,644.71875,3562.5,3395.74976,78.91457,0,3,440,0,29,999
RUN MODE,55,-164.44415,2.61625,-0.28876,0,0,0,-0.04531,-0.00503,0.99546,0,-0.02443,0.01985,649.39062,3557.8125,3364.14062,78.91349,0,3,452,0,29,999
